ServiceDetailsID,ServiceID,Description,IGSTRate,IGSTAmount,HSNCode,QNTY,SparePart,Unit,DiscountRate,DiscountAmount,SalePrice,Amount,TaxableAmount,TotalAmount
"19202","4181","Abs Module Coding","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1500.00"
"19203","4181","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","9960.00"
"19205","4154","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","10280.00"
"19207","4178","Painting","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","9500.00"
"19208","4178","Denting","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1500.00"
"19212","4208","Double Side Tape","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","100.00"
"19215","4213","A/c Gas & Oil","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1300.00"
"19216","4213","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","3500.00"
"19224","4217","Tensioner Pulley","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1470.00"
"19225","4217","Idlear Pulley","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","850.00"
"19226","4178","Number Plate","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","700.00"
"19227","4226","Alternator Pulley","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","3200.00"
"19228","4218","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","860.00"
"19229","4225","Brake Pad","0.00","0.00","0","1.00","","Set","0.00","0.00","","0.00","0.00","1458.00"
"19230","4225","Brake Liner","0.00","0.00","0","1.00","","Set","0.00","0.00","","0.00","0.00","1979.00"
"19231","4225","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1340.00"
"19232","4225","Uj Cross Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","700.00"
"19233","4225","Rotter Polish","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","800.00"
"19234","4225","Drum Polish","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","700.00"
"19235","4225","Brake Fluid","0.00","0.00","0","250.00","","Ml","0.00","0.00","","0.00","0.00","135.00"
"19236","4225","Cotton Waste","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","20.00"
"19237","4225","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19238","4225","Engine Oil","0.00","0.00","0","7.00","","Ltr","0.00","0.00","","0.00","0.00","3360.00"
"19239","4217","Polo Compressor Pulley Bearing","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","900.00"
"19240","4225","Oil Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","470.00"
"19244","4097","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","22216.00"
